emp_prse,jobs_1000,locquotient,h_mean,a_mean,mean_prse,h_median,a_median
2.8,1.756,1.1900001,113.81,"236,730",1.5,#,#
1.8,15.903,1.02,67.77,"140,970",1,55.58,"115,600"
6.5,.112,.31,118.37,"72,510",4.2,*,"63,150"
3.4000001,1.727,1.12,73.08,"152,000",1.2,67.03,"139,430"
2.8,4.618,1.77,63.38,"131,830",1.6,54.15,"112,640"
7,.41100001,.87,67.72,"140,860",2.2,62.04,"129,040"
2.8,2.5669999,1.35,54.79,"113,950",1.3,50.95,"105,980"
3.0999999,2.5569999,1,77.22,"160,620",1,73.02,"151,880"
3.8,4.579,1.15,75.67,"157,400",1.5,66.37,"138,040"
3.3,1.2130001,1.01,56.41,"117,330",1.5,50.79,"105,650"
5.5999999,.51800001,1.05,62.37,"129,720",3,60.44,"125,710"
4.9000001,1.1289999,1.36,48.17,"100,190",2.4,43.89,"91,290"
7.5,.093000002,.85000002,71.06,"147,800",2.4,67.47,"140,340"
3.3,.98500001,1.03,64.25,"133,630",2.3,60.01,"124,820"
7,.21699999,.89999998,58.27,"121,210",2.4,55.2,"114,810"
49,.012,.38,30.22,"62,850",16.6,31.09,"64,670"
6,1.807,.98000002,51.3,"106,700",2.7,47.2,"98,170"
9.1000004,.35800001,1.04,27.68,"57,570",3.5,23.59,"49,060"
9.8000002,.898,.89999998,61.43,"127,770",3.1,55.88,"116,230"
12.3,.308,1.22,45.43,"94,490",3.5,43.24,"89,940"
4,1.459,1.16,79.16,"164,650",1.7,76.49,"159,110"
4.5999999,2.2420001,1.54,24.71,"51,390",2.8,21.76,"45,260"
11.8,.185,.72000003,30.12,"62,660",4.3,27.96,"58,160"
3.2,2.003,.81999999,55.73,"115,920",2.1,52.27,"108,720"
0,.02,.2,43.29,"90,050",2.5,42.48,"88,360"
7,2.017,1.54,36.25,"75,410",3.4,30.77,"64,000"
13.3,.026000001,.38999999,61.98,"128,910",3.3,58.22,"121,110"
2.7,3.131,1.04,66.19,"137,680",1.6,58.94,"122,600"
7.6999998,.986,9.0900002,46.59,"96,900",8.5,31.92,"66,380"
4.3000002,3.5539999,1.23,33.69,"70,080",2.1,30.84,"64,150"
8,1.9529999,.99000001,34.9,"72,600",1.7,34.62,"72,010"
20,.248,2.1900001,30.22,"62,860",2.7,29.11,"60,540"
3.2,2.1730001,1.08,39.35,"81,840",1.1,39.14,"81,410"
5.6999998,1.46,.99000001,33.62,"69,930",2.1,30.74,"63,950"
2.8,3.711,.94999999,35.18,"73,180",1.3,32.27,"67,110"
9.5,.56099999,1.02,39.24,"81,620",6.3,38.82,"80,750"
4.9000001,1.169,1.04,40.22,"83,650",1.4,38.99,"81,090"
4.5999999,5.2480001,1.13,45.65,"94,950",2.2,41.14,"85,560"
8.8000002,.95599997,1.33,25.62,"53,290",2.7,23.44,"48,760"
8.3000002,.42500001,.82999998,38.04,"79,120",12.1,31.5,"65,510"
6.3000002,.46900001,.82999998,36.34,"75,590",1.2,34.63,"72,040"
5.5,1.659,.83999997,32.59,"67,790",1.8,31.42,"65,340"
2.9000001,5.9460001,1.42,34.39,"71,520",1.1,30.51,"63,470"
2.3,9.3459997,1.33,38.13,"79,310",1.5,34.11,"70,940"
3.2,9.6780005,1.11,39.74,"82,670",1.5,35.6,"74,050"
12.7,.29899999,.72000003,40.52,"84,290",2.7,40.4,"84,030"
8.8000002,.42500001,1.11,45.42,"94,470",1.7,44.31,"92,160"
7.8000002,.588,1.12,44.04,"91,610",3,36.71,"76,360"
4.9000001,2.0409999,.99000001,49.27,"102,470",1.9,43.41,"90,300"
7.8000002,1.743,1.24,62.47,"129,940",5.3,45.03,"93,660"
11.8,.505,.80000001,42.88,"89,190",3.7,37.52,"78,030"
9.1999998,.287,.77999997,48.82,"101,540",4.1,45.09,"93,780"
12.8,.26800001,1.0599999,28.04,"58,320",3.1,24.78,"51,550"
8.3999996,2.7809999,1.29,38.03,"79,100",3.5,30.8,"64,060"
.69999999,.26800001,.67000002,39.59,"82,340",2.8,38.84,"80,790"
13.4,.78899997,1.64,28.61,"59,510",4.8,26.41,"54,930"
7.1999998,1.011,1.14,38.16,"79,370",2.5,34.1,"70,930"
26.6,.206,1.05,58.24,"121,140",4.3,56.36,"117,220"
6.9000001,3.3069999,.81,45.53,"94,710",1.2,44.64,"92,860"
7.1999998,.50099999,.68000001,48.25,"100,360",2,48.87,"101,650"
8.1999998,1.648,.94999999,43.68,"90,860",1.1,42.21,"87,790"
4.0999999,4.473,.75,55.26,"114,940",1.5,54.07,"112,470"
6,3.7579999,1.36,57.62,"119,860",1.6,57.01,"118,580"
7.1999998,1.3099999,1.48,36.84,"76,620",2,32.57,"67,750"
5.3000002,.63300002,.79000002,44.6,"92,770",2,44.98,"93,560"
3.8,2.3699999,.89999998,43.69,"90,870",1.1,42.96,"89,350"
9.6000004,.81599998,.74000001,56.53,"117,590",4.4,53.68,"111,660"
4.5999999,3.8210001,.88999999,27.89,"58,020",1,26.6,"55,320"
7,.991,.75999999,36.1,"75,090",2.6,33.46,"69,610"
4.9000001,2.5139999,1.13,41.13,"85,540",1.4,39,"81,120"
25.200001,.098999999,.73000002,52.15,"108,480",2.8,49.4,"102,760"
24.200001,.014,.70999998,33.48,"69,650",3.8,30.07,"62,540"
9.5,.73000002,.98000002,42.92,"89,280",1.5,41.81,"86,950"
12,.20100001,.77999997,40.34,"83,900",2.7,39.04,"81,190"
10.8,.97399998,1.35,46.1,"95,880",4.5,40.96,"85,190"
29.4,.155,1.16,39.34,"81,830",4.1,40.58,"84,410"
22.200001,.079000004,.99000001,41.9,"87,160",3.3,40.72,"84,690"
13,.204,.67000002,43.35,"90,170",3.1,44.45,"92,450"
5.1999998,.83099997,1.8,61.89,"128,730",3.2,61.29,"127,470"
18.1,.18700001,1.33,45.88,"95,440",4.4,43.84,"91,180"
17.299999,.093000002,.40000001,46.72,"97,190",4,42.89,"89,220"
6.5,2.2550001,1.08,51.32,"106,750",1.7,51.19,"106,480"
13.3,.579,1.24,59.09,"122,910",3.3,55.98,"116,440"
5.9000001,1.289,1,53.6,"111,500",2.2,52.48,"109,160"
7.9000001,1.543,1.63,59.36,"123,470",4.1,57.88,"120,390"
10.9,.433,1.17,49.3,"102,540",3.4,48.28,"100,420"
10.4,.197,1.0700001,50.56,"105,160",1.5,51.22,"106,550"
4.3000002,1.619,.87,51.51,"107,150",2,48.62,"101,130"
38.599998,.0080000004,.11,54.04,"112,400",6.2,49.39,"102,740"
19.5,.15700001,.81999999,51.66,"107,450",3.4,51.21,"106,520"
5.3000002,1.474,.72000003,48.6,"101,080",1.7,45.85,"95,360"
17.700001,.011,.25999999,62.79,"130,590",4.1,64.66,"134,500"
33.700001,.13,.57999998,64.24,"133,620",5.4,59.66,"124,100"
7.6999998,.82099998,.88999999,49.49,"102,930",2,49.18,"102,290"
9.3999996,.95599997,1.42,29.3,"60,950",2.6,28.7,"59,690"
