AREA,AREA_NAME,Short_name,OCC_TITLE,Short_title,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_MEDIAN,A_MEDIAN
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Chief Executives,Chief Executives,"10,620",2.8,1.756,1.19,113.81,"236,730",1.5,#,#
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,General and Operations Managers,General and Operatio,"96,170",1.8,15.903,1.02,67.77,"140,970",1,55.58,"115,600"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Legislators,Legislators,680,6.5,0.112,0.31,118.37,"72,510",4.2,*,"63,150"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Marketing Managers,Marketing Managers,"10,440",3.4,1.727,1.12,73.08,"152,000",1.2,67.03,"139,430"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Sales Managers,Sales Managers,"27,920",2.8,4.618,1.77,63.38,"131,830",1.6,54.15,"112,640"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Public Relations and Fundraising Managers,Public Relations and,"2,490",7,0.411,0.87,67.72,"140,860",2.2,62.04,"129,040"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Administrative Services Managers,Administrative Servi,"15,520",2.8,2.567,1.35,54.79,"113,950",1.3,50.95,"105,980"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer and Information Systems Managers,Computer and Informa,"15,460",3.1,2.557,1,77.22,"160,620",1,73.02,"151,880"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Financial Managers,Financial Managers,"27,690",3.8,4.579,1.15,75.67,"157,400",1.5,66.37,"138,040"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Industrial Production Managers,Industrial Productio,"7,340",3.3,1.213,1.01,56.41,"117,330",1.5,50.79,"105,650"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Purchasing Managers,Purchasing Managers,"3,130",5.6,0.518,1.05,62.37,"129,720",3,60.44,"125,710"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Transportation, Storage, and Distribution Managers","Transportation, Stor","6,830",4.9,1.129,1.36,48.17,"100,190",2.4,43.89,"91,290"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Compensation and Benefits Managers,Compensation and Ben,560,7.5,0.093,0.85,71.06,"147,800",2.4,67.47,"140,340"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Human Resources Managers,Human Resources Mana,"5,950",3.3,0.985,1.03,64.25,"133,630",2.3,60.01,"124,820"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Training and Development Managers,Training and Develop,"1,310",7,0.217,0.9,58.27,"121,210",2.4,55.2,"114,810"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, a",70,49,0.012,0.38,30.22,"62,850",16.6,31.09,"64,670"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Construction Managers,Construction Manager,"10,930",6,1.807,0.98,51.3,"106,700",2.7,47.2,"98,170"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Education Administrators, Preschool and Childcare Center/Program",Education Administra,"2,170",9.1,0.358,1.04,27.68,"57,570",3.5,23.59,"49,060"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Education Administrators, Postsecondary",Education Administra,"5,430",9.8,0.898,0.9,61.43,"127,770",3.1,55.88,"116,230"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Education Administrators, All Other",Education Administra,"1,870",12.3,0.308,1.22,45.43,"94,490",3.5,43.24,"89,940"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Architectural and Engineering Managers,Architectural and En,"8,820",4,1.459,1.16,79.16,"164,650",1.7,76.49,"159,110"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Food Service Managers,Food Service Manager,"13,560",4.6,2.242,1.54,24.71,"51,390",2.8,21.76,"45,260"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Lodging Managers,Lodging Managers,"1,120",11.8,0.185,0.72,30.12,"62,660",4.3,27.96,"58,160"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Medical and Health Services Managers,Medical and Health S,"12,110",3.2,2.003,0.82,55.73,"115,920",2.1,52.27,"108,720"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Postmasters and Mail Superintendents,Postmasters and Mail,120,0,0.02,0.2,43.29,"90,050",2.5,42.48,"88,360"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Property, Real Estate, and Community Association Managers","Property, Real Estat","12,200",7,2.017,1.54,36.25,"75,410",3.4,30.77,"64,000"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Emergency Management Directors,Emergency Management,160,13.3,0.026,0.39,61.98,"128,910",3.3,58.22,"121,110"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Managers, All Other","Managers, All Other","18,930",2.7,3.131,1.04,66.19,"137,680",1.6,58.94,"122,600"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Agents and Business Managers of Artists, Performers, and Athletes",Agents and Business ,"5,960",7.7,0.986,9.09,46.59,"96,900",8.5,31.92,"66,380"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Buyers and Purchasing Agents,Buyers and Purchasin,"21,490",4.3,3.554,1.23,33.69,"70,080",2.1,30.84,"64,150"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Ex","11,810",8,1.953,0.99,34.9,"72,600",1.7,34.62,"72,010"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Insurance Appraisers, Auto Damage",Insurance Appraisers,"1,500",20,0.248,2.19,30.22,"62,860",2.7,29.11,"60,540"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Compliance Officers,Compliance Officers,"13,140",3.2,2.173,1.08,39.35,"81,840",1.1,39.14,"81,410"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Cost Estimators,Cost Estimators,"8,830",5.7,1.46,0.99,33.62,"69,930",2.1,30.74,"63,950"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Human Resources Specialists,Human Resources Spec,"22,440",2.8,3.711,0.95,35.18,"73,180",1.3,32.27,"67,110"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Labor Relations Specialists,Labor Relations Spec,"3,390",9.5,0.561,1.02,39.24,"81,620",6.3,38.82,"80,750"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Logisticians,Logisticians,"7,070",4.9,1.169,1.04,40.22,"83,650",1.4,38.99,"81,090"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Management Analysts,Management Analysts,"31,740",4.6,5.248,1.13,45.65,"94,950",2.2,41.14,"85,560"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Meeting, Convention, and Event Planners","Meeting, Convention,","5,780",8.8,0.956,1.33,25.62,"53,290",2.7,23.44,"48,760"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Fundraisers,Fundraisers,"2,570",8.3,0.425,0.83,38.04,"79,120",12.1,31.5,"65,510"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefi","2,830",6.3,0.469,0.83,36.34,"75,590",1.2,34.63,"72,040"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Training and Development Specialists,Training and Develop,"10,030",5.5,1.659,0.84,32.59,"67,790",1.8,31.42,"65,340"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Market Research Analysts and Marketing Specialists,Market Research Anal,"35,960",2.9,5.946,1.42,34.39,"71,520",1.1,30.51,"63,470"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Business Operations Specialists, All Other",Business Operations ,"56,510",2.3,9.346,1.33,38.13,"79,310",1.5,34.11,"70,940"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Accountants and Auditors,Accountants and Audi,"58,520",3.2,9.678,1.11,39.74,"82,670",1.5,35.6,"74,050"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Appraisers and Assessors of Real Estate,Appraisers and Asses,"1,810",12.7,0.299,0.72,40.52,"84,290",2.7,40.4,"84,030"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Budget Analysts,Budget Analysts,"2,570",8.8,0.425,1.11,45.42,"94,470",1.7,44.31,"92,160"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Credit Analysts,Credit Analysts,"3,560",7.8,0.588,1.12,44.04,"91,610",3,36.71,"76,360"
